epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8988,1.87006,4.39773,0.00677,0.00613,0.41776,0.0667,0.04093,1.17366,4.08156,0.00688,0.000541044,0.000541044,0.000541044
2,93.4486,1.52234,3.07579,0.00539,0.56346,0.18745,0.37145,0.23378,1.24006,2.95601,0.00751,0.001075,0.001075,0.001075
3,119.458,1.5399,2.36976,0.00521,0.68153,0.50053,0.57927,0.35191,1.28726,2.27089,0.00763,0.00158694,0.00158694,0.00158694
4,143.32,1.44258,2.12744,0.00519,0.65831,0.56533,0.64026,0.39747,1.29152,1.61198,0.00757,0.00156798,0.00156798,0.00156798
5,170.656,1.51261,1.83504,0.00489,0.63938,0.63372,0.68326,0.42948,1.31973,1.42229,0.00828,0.00153497,0.00153497,0.00153497
6,196.931,1.43714,1.63998,0.00485,0.70688,0.65968,0.70922,0.45005,1.26815,1.14459,0.00765,0.00150197,0.00150197,0.00150197
7,221.225,1.39227,1.53233,0.00518,0.63607,0.69783,0.72862,0.46804,1.2867,1.00609,0.00811,0.00146896,0.00146896,0.00146896
8,247.172,1.40588,1.35596,0.00466,0.72017,0.70546,0.75421,0.47706,1.24304,0.93416,0.00705,0.00143595,0.00143595,0.00143595
9,273.737,1.42941,1.27001,0.00502,0.79249,0.68385,0.7853,0.49194,1.24259,0.86854,0.00741,0.00140295,0.00140295,0.00140295
10,297.946,1.35017,1.18126,0.00479,0.79169,0.69546,0.78343,0.51221,1.24422,0.82676,0.00757,0.00136994,0.00136994,0.00136994
11,325.132,1.34524,1.09384,0.00492,0.73854,0.73443,0.80582,0.51647,1.21821,0.79451,0.00716,0.00133693,0.00133693,0.00133693
12,351.181,1.39134,1.06207,0.00447,0.80298,0.75066,0.83293,0.53208,1.2339,0.72301,0.00721,0.00130393,0.00130393,0.00130393
13,375.01,1.38462,1.00034,0.00456,0.83384,0.7386,0.83302,0.53671,1.20925,0.73239,0.00699,0.00127092,0.00127092,0.00127092
14,401.977,1.39433,0.98953,0.00461,0.80315,0.75158,0.83774,0.53406,1.2021,0.76058,0.00682,0.00123791,0.00123791,0.00123791
15,426.233,1.33727,0.93297,0.00431,0.79817,0.76762,0.84128,0.55855,1.13359,0.664,0.0061,0.00120491,0.00120491,0.00120491
16,452.179,1.33667,0.9125,0.00464,0.78863,0.77131,0.8341,0.54663,1.18935,0.78502,0.00673,0.0011719,0.0011719,0.0011719
17,478.319,1.33223,0.89719,0.00445,0.83981,0.77364,0.83979,0.5624,1.18767,0.67102,0.00707,0.00113889,0.00113889,0.00113889
18,503.03,1.34873,0.87427,0.00455,0.8305,0.76373,0.86239,0.55975,1.21836,0.64099,0.00716,0.00110589,0.00110589,0.00110589
19,528.52,1.3151,0.83663,0.00427,0.80372,0.81665,0.86353,0.57419,1.16984,0.63944,0.00666,0.00107288,0.00107288,0.00107288
20,554.269,1.26959,0.77452,0.00419,0.79333,0.79194,0.85219,0.56065,1.17359,0.64023,0.00658,0.00103987,0.00103987,0.00103987
21,577.373,1.27421,0.77056,0.00442,0.85003,0.80043,0.88093,0.55871,1.21713,0.60642,0.00666,0.00100687,0.00100687,0.00100687
22,603.101,1.28005,0.77696,0.00427,0.8439,0.82045,0.89071,0.5769,1.19003,0.62239,0.00661,0.000973861,0.000973861,0.000973861
23,628.027,1.30853,0.77563,0.00413,0.83839,0.80836,0.87348,0.57193,1.14164,0.56478,0.00632,0.000940855,0.000940855,0.000940855
24,652.618,1.26253,0.75099,0.00444,0.86665,0.80724,0.88158,0.57197,1.18658,0.56823,0.00682,0.000907848,0.000907848,0.000907848
25,678.903,1.26018,0.71409,0.00421,0.83711,0.7928,0.88669,0.56632,1.15111,0.5495,0.00651,0.000874842,0.000874842,0.000874842
26,702.003,1.28475,0.74309,0.00428,0.79915,0.7928,0.85885,0.57057,1.1842,0.63609,0.00674,0.000841835,0.000841835,0.000841835
27,728.424,1.24998,0.69622,0.00407,0.84565,0.81258,0.88954,0.58973,1.12765,0.5488,0.00629,0.000808828,0.000808828,0.000808828
28,754.774,1.24961,0.70334,0.00384,0.8768,0.81173,0.89448,0.58463,1.15842,0.59759,0.00669,0.000775822,0.000775822,0.000775822
29,779.224,1.23288,0.68826,0.00406,0.84621,0.80193,0.88051,0.58158,1.13846,0.57799,0.00634,0.000742815,0.000742815,0.000742815
30,805.018,1.24074,0.67024,0.00407,0.88221,0.79723,0.88115,0.58551,1.14926,0.58328,0.00632,0.000709809,0.000709809,0.000709809
31,828.949,1.21272,0.6652,0.00393,0.83446,0.82266,0.87868,0.57546,1.16227,0.57546,0.00651,0.000676802,0.000676802,0.000676802
32,854.38,1.28828,0.7049,0.00393,0.82992,0.82932,0.88273,0.59974,1.11522,0.54524,0.00611,0.000643795,0.000643795,0.000643795
33,881.009,1.19715,0.64121,0.0038,0.82578,0.84454,0.88669,0.59189,1.13398,0.53873,0.00635,0.000610789,0.000610789,0.000610789
34,904.895,1.21892,0.63722,0.00397,0.83981,0.82162,0.88841,0.59264,1.1465,0.5809,0.0064,0.000577782,0.000577782,0.000577782
35,931.648,1.16043,0.59399,0.00395,0.85004,0.82435,0.89125,0.587,1.12945,0.552,0.00611,0.000544776,0.000544776,0.000544776
36,955.892,1.22208,0.62262,0.00372,0.85083,0.85007,0.89845,0.59846,1.12691,0.53801,0.00627,0.000511769,0.000511769,0.000511769
37,980.843,1.16099,0.59845,0.00395,0.93173,0.78679,0.9104,0.61323,1.12714,0.51442,0.00631,0.000478762,0.000478762,0.000478762
38,1007.65,1.14883,0.59338,0.00374,0.88667,0.82793,0.90212,0.60565,1.12098,0.51372,0.00619,0.000445756,0.000445756,0.000445756
39,1031.71,1.16949,0.59845,0.00367,0.87117,0.84066,0.90928,0.60945,1.10451,0.51602,0.00595,0.000412749,0.000412749,0.000412749
40,1059.15,1.18137,0.61403,0.00371,0.85163,0.85356,0.90616,0.59858,1.12893,0.52422,0.00618,0.000379743,0.000379743,0.000379743
41,1090.53,1.10342,0.5489,0.00401,0.91614,0.7953,0.90536,0.6059,1.10393,0.50629,0.00605,0.000346736,0.000346736,0.000346736
42,1117.34,1.10832,0.52326,0.00429,0.87751,0.82241,0.90277,0.60758,1.12407,0.52577,0.00619,0.000313729,0.000313729,0.000313729
43,1140.81,1.09202,0.51827,0.00393,0.8947,0.80781,0.90769,0.60345,1.11678,0.49638,0.00603,0.000280723,0.000280723,0.000280723
44,1167.19,1.08577,0.51178,0.00391,0.89029,0.80249,0.90294,0.60972,1.09909,0.50728,0.00601,0.000247716,0.000247716,0.000247716
45,1191.3,1.06557,0.50655,0.00386,0.91242,0.77103,0.89549,0.61105,1.09065,0.50757,0.00608,0.00021471,0.00021471,0.00021471
46,1216.3,1.08698,0.50621,0.00398,0.84696,0.8263,0.89835,0.6016,1.1193,0.51975,0.00624,0.000181703,0.000181703,0.000181703
47,1241.29,1.06191,0.49177,0.00375,0.8534,0.81293,0.89714,0.61062,1.10111,0.51338,0.00611,0.000148696,0.000148696,0.000148696
48,1265.21,1.05365,0.4948,0.00372,0.85931,0.82351,0.89936,0.61259,1.10598,0.508,0.00618,0.00011569,0.00011569,0.00011569
49,1290.84,1.05014,0.49243,0.00366,0.84151,0.8549,0.90448,0.60869,1.11141,0.50153,0.00607,8.26832e-05,8.26832e-05,8.26832e-05
50,1313.8,1.09573,0.50366,0.00361,0.8483,0.84876,0.90374,0.60916,1.11588,0.50278,0.00613,4.96766e-05,4.96766e-05,4.96766e-05
